name,wgs_lat,wgs_lng,type_code,base_type,sub_type,category
寰太大厦员工餐厅,39.9580286951467,116.317624369881,"50100",餐饮服务,中餐厅,中餐厅
一手店（北三环西路辅路）,39.9657066097908,116.313840997557,"50000",餐饮服务,餐饮相关场所,餐饮相关
三博冒菜馆,39.9667488172648,116.317379827607,"50100",餐饮服务,中餐厅,中餐厅
奇豆の恋,39.9673211997229,116.318732659268,"50700",餐饮服务,冷饮店,冷饮店
茶真乡,39.9538023997497,116.316821735962,"50400",餐饮服务,休闲餐饮场所,休闲餐饮场所
金汉斯（中关村店）,39.9544397716884,116.316614128839,"50201",餐饮服务,外国餐厅,西餐厅(综合风味)
东方饺子王（魏公村店）,39.9553504593374,116.318324107173,"50118",餐饮服务,中餐厅,特色/地方风味餐厅
麦当劳（中关村南大街店）,39.9549516748033,116.317698588676,"50302",餐饮服务,快餐厅,麦当劳
老自行车咖啡馆,39.954419455158,116.310981826996,"50500",餐饮服务,咖啡厅,咖啡厅
西部马华牛肉面,39.9551766900966,116.302649727012,"50100",餐饮服务,中餐厅,中餐厅
浦记肥牛火锅城,39.9561446181824,116.316136002611,"50117",餐饮服务,中餐厅,火锅店
漓江情桂林米粉,39.9599804134255,116.317209072261,"50100",餐饮服务,中餐厅,中餐厅
避风塘,39.965945026208,116.301654437882,"50400",餐饮服务,休闲餐饮场所,休闲餐饮场所
元盛元（华宇店）,39.9641985239398,116.317063871175,"50100",餐饮服务,中餐厅,中餐厅
瑞福祥烤肉店,39.9636757979266,116.306282954315,"50118",餐饮服务,中餐厅,特色/地方风味餐厅
棒约翰（华宇店）,39.9641985239398,116.317063871175,"50300",餐饮服务,快餐厅,快餐厅
星巴克咖啡（华宇购物中心店）,39.9641985239398,116.317063871175,"50501",餐饮服务,咖啡厅,星巴克咖啡
金百万烤鸭（万柳店）,39.964581011799,116.29765069094,"50118",餐饮服务,中餐厅,特色/地方风味餐厅
北京晋南建梅主食店,39.9536679852345,116.313367582772,"50000",餐饮服务,餐饮相关场所,餐饮相关
鱼众不同（人大西门店）,39.9667661504109,116.29927218871,"50118",餐饮服务,中餐厅,特色/地方风味餐厅
峰尚圣宴（北京人大店）,39.9676578931875,116.301691146714,"50100",餐饮服务,中餐厅,中餐厅
周黑鸭（万泉河店）,39.9668817591461,116.300646389739,"50000",餐饮服务,餐饮相关场所,餐饮相关
麦当劳（苏州桥餐厅）,39.9658079621036,116.300554711825,"50302",餐饮服务,快餐厅,麦当劳
焦志华黄记桂林米粉煲仔饭,39.9645504917098,116.300852261946,"50100",餐饮服务,中餐厅,中餐厅
辣尚瘾（人大店）,39.965914454485,116.301978771141,"50118",餐饮服务,中餐厅,特色/地方风味餐厅
洞庭茶火鱼,39.9638880293183,116.30055994248,"50117",餐饮服务,中餐厅,火锅店
理工餐厅,39.959659021337,116.309498451153,"50102",餐饮服务,中餐厅,四川菜(川菜)
花舞陕一边,39.9557845901446,116.314058757593,"50115",餐饮服务,中餐厅,西北菜
桥咖啡,39.9576987562609,116.306435378175,"50500",餐饮服务,咖啡厅,咖啡厅
权味石锅拌饭（北京华宇店）,39.9641995239003,116.317063871049,"50203",餐饮服务,外国餐厅,韩国料理
爱上层楼咖啡,39.955252706632,116.302638740358,"50500",餐饮服务,咖啡厅,咖啡厅
惠州食府,39.9546649639614,116.30250708849,"50103",餐饮服务,中餐厅,广东菜(粤菜)
